table_name,column_name,data_type,is_nullable,column_default,is_primary_key,is_unique,referenced_table,referenced_column
athletes,parent_id,uuid,YES,NULL,,,parents,parent_id
athletes,phone_number,text,YES,NULL,,,null,null
athletes,photo,text,YES,NULL,,,null,null
athletes,profile_id,uuid,YES,NULL,,,profiles,id
athletes,user_id,uuid,YES,NULL,,,null,null
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,club_id,uuid,NO,NULL,PK,,clubs,club_id
club_coach,coach_id,uuid,NO,NULL,PK,,coaches,coach_id
club_coach,coach_id,uuid,NO,NULL,PK,,coaches,coach_id
club_coach,coach_id,uuid,NO,NULL,PK,,coaches,coach_id
club_coach,coach_id,uuid,NO,NULL,PK,,coaches,coach_id
club_coach,coach_id,uuid,NO,NULL,PK,,coaches,coach_id
club_membership_payments,payment_id,uuid,NO,NULL,PK,,null,null
club_membership_payments,amount,numeric,YES,NULL,,,null,null
club_membership_payments,created_at,timestamp without time zone,YES,now(),,,null,null
